2011-02-07,0
2011-03-09,1469
2011-04-08,1479
2011-05-09,1479
2011-06-08,1479
2011-07-09,1479
2011-08-08,1479
2011-09-08,1479
2011-10-08,1538
2011-11-07,1538
2011-12-08,1538
2012-01-07,1538
2012-02-07,1538
2012-03-08,1538
2012-04-08,1538
2012-05-08,1538
2012-06-08,1534
2012-07-08,1534
2012-08-07,1534
2012-09-07,1534
2012-10-07,1534
2012-11-07,1534
2012-12-07,1534
2013-01-07,1534
2013-02-06,1534
2013-03-08,1534
2013-04-08,1534
2013-05-08,1534
2013-06-08,1534
2013-07-08,1534
2013-08-08,1534
2013-09-07,1534
2013-10-08,1534
2013-11-07,1534
2013-12-07,1534
2014-01-07,1534
2014-02-06,1534
2014-03-09,1534
2014-04-08,1534
2014-05-09,1534
2014-06-08,1534
2014-07-08,1534
2014-08-08,1534
2014-09-07,1534
2014-10-08,1534
2014-11-07,1534
2014-12-08,1534
2015-01-07,1534
2015-02-07,1534
2015-03-09,1534
2015-04-08,1534
2015-05-09,1534
2015-06-08,1534
2015-07-09,1534
2015-08-08,1534
2015-09-08,1534
2015-10-08,1534
2015-11-07,1534
2015-12-08,1534
2016-01-07,1534
