2010-04-29,0
2010-05-29,2533
2010-06-28,2533
2010-07-29,2533
2010-08-28,2533
2010-09-28,2533
2010-10-28,2533
2010-11-28,2533
2010-12-28,2533
2011-01-27,2533
2011-02-27,2533
2011-03-29,2533
2011-04-29,2533
2011-05-29,2533
2011-06-29,2533
2011-07-29,2533
2011-08-29,2533
2011-09-28,2594
2011-10-28,2594
2011-11-28,2594
2011-12-28,2594
2012-01-28,2594
2012-02-27,2594
2012-03-29,3160
2012-04-28,3160
2012-05-28,3160
2012-06-28,3160
2012-07-28,3160
2012-08-28,3160
2012-09-27,3160
2012-10-28,3160
2012-11-27,3160
2012-12-27,3160
2013-01-27,3160
2013-02-26,3160
2013-03-29,3160
2013-04-28,3160
2013-05-29,3160
2013-06-28,3160
2013-07-29,3160
2013-08-28,3160
2013-09-27,3160
2013-10-28,3160
2013-11-27,3160
2013-12-28,3160
2014-01-27,3160
2014-02-27,3160
2014-03-29,3160
2014-04-29,3160
2014-05-29,3160
2014-06-28,3160
2014-07-29,3160
2014-08-28,3160
2014-09-28,3160
2014-10-28,3160
2014-11-28,3160
2014-12-28,3160
2015-01-27,3160
2015-02-27,3160
2015-03-29,3160
2015-04-29,3160
2015-05-29,3160
2015-06-29,3160
2015-07-29,3160
2015-08-29,3160
2015-09-28,3160
2015-10-28,3160
2015-11-28,3160
2015-12-28,3160
2016-01-28,3160
