2005-08-29,0
2005-09-28,0
2005-10-28,0
2005-11-28,0
2005-12-28,0
2006-01-28,0
2006-02-27,0
2006-03-30,0
2006-04-29,0
2006-05-29,0
2006-06-29,0
2006-07-29,0
2006-08-29,0
2006-09-28,0
2006-10-29,0
2006-11-28,0
2006-12-28,0
2007-01-28,0
2007-02-27,0
2007-03-30,0
2007-04-29,0
2007-05-30,0
2007-06-29,0
2007-07-30,0
2007-08-29,0
2007-09-28,0
2007-10-29,0
2007-11-28,0
2007-12-29,0
2008-01-28,0
2008-02-28,0
2008-03-29,0
2008-04-29,0
2008-05-29,0
2008-06-28,0
2008-07-29,0
2008-08-28,0
2008-09-28,0
2008-10-28,0
2008-11-28,0
2008-12-28,0
2009-01-27,0
2009-02-27,0
2009-03-29,0
2009-04-29,0
2009-05-29,0
2009-06-29,0
2009-07-29,0
2009-08-29,0
2009-09-28,0
2009-10-28,0
2009-11-28,0
2009-12-28,0
2010-01-28,0
2010-02-27,0
2010-03-30,0
2010-04-29,0
2010-05-29,0
2010-06-29,0
2010-07-29,0
2010-08-29,0
2010-09-28,0
2010-10-29,0
2010-11-28,0
2010-12-28,0
2011-01-28,0
2011-02-27,0
2011-03-30,0
2011-04-29,0
2011-05-30,0
2011-06-29,0
2011-07-30,0
2011-08-29,0
2011-09-28,0
2011-10-29,0
2011-11-28,0
2011-12-29,0
2012-01-28,0
2012-02-28,0
2012-03-29,0
2012-04-29,0
2012-05-29,0
2012-06-28,0
2012-07-29,0
2012-08-28,0
2012-09-28,0
2012-10-28,0
2012-11-28,0
2012-12-28,0
2013-01-27,0
2013-02-27,0
2013-03-29,0
2013-04-29,0
2013-05-29,0
2013-06-29,0
2013-07-29,0
2013-08-29,0
2013-09-28,0
2013-10-28,0
2013-11-28,0
2013-12-28,0
2014-01-28,0
2014-02-27,0
2014-03-30,0
2014-04-29,0
2014-05-29,0
2014-06-29,0
2014-07-29,0
2014-08-29,0
2014-09-28,0
2014-10-29,0
2014-11-28,0
2014-12-28,0
2015-01-28,0
2015-02-27,0
2015-03-30,0
2015-04-29,0
2015-05-30,0
2015-06-29,0
2015-07-30,0
2015-08-29,0
2015-09-28,0
2015-10-29,0
2015-11-28,0
2015-12-29,0
2016-01-28,0
