2001-10-03,0
2001-11-02,0
2001-12-02,0
2002-01-02,0
2002-02-01,0
2002-03-04,0
2002-04-03,0
2002-05-04,0
2002-06-03,0
2002-07-03,0
2002-08-03,0
2002-09-02,0
2002-10-03,0
2002-11-02,0
2002-12-03,0
2003-01-02,0
2003-02-01,0
2003-03-04,0
2003-04-03,0
2003-05-04,0
2003-06-03,0
2003-07-04,0
2003-08-03,0
2003-09-03,0
2003-10-03,0
2003-11-02,0
2003-12-03,0
2004-01-02,0
2004-02-02,0
2004-03-03,0
2004-04-03,0
2004-05-03,0
2004-06-03,0
2004-07-03,0
2004-08-02,0
2004-09-02,0
2004-10-02,0
2004-11-02,0
2004-12-02,0
2005-01-02,0
2005-02-01,0
2005-03-03,0
2005-04-03,0
2005-05-03,0
2005-06-03,0
2005-07-03,0
2005-08-03,0
2005-09-02,0
2005-10-03,0
2005-11-02,0
2005-12-02,0
2006-01-02,0
2006-02-01,0
2006-03-04,0
2006-04-03,0
2006-05-04,0
2006-06-03,0
2006-07-03,0
2006-08-03,0
2006-09-02,0
2006-10-03,0
2006-11-02,0
2006-12-03,0
2007-01-02,0
2007-02-01,0
2007-03-04,0
2007-04-03,0
2007-05-04,0
2007-06-03,0
2007-07-04,0
2007-08-03,0
2007-09-03,0
2007-10-03,0
2007-11-02,0
2007-12-03,0
2008-01-02,0
2008-02-02,0
2008-03-03,0
2008-04-03,0
2008-05-03,0
2008-06-03,0
2008-07-03,0
2008-08-02,0
2008-09-02,0
2008-10-02,0
2008-11-02,0
2008-12-02,0
2009-01-02,0
2009-02-01,0
2009-03-03,0
2009-04-03,0
2009-05-03,0
2009-06-03,0
2009-07-03,0
2009-08-03,0
2009-09-02,0
2009-10-03,0
2009-11-02,0
2009-12-02,0
2010-01-02,0
2010-02-01,0
2010-03-04,0
2010-04-03,0
2010-05-04,0
2010-06-03,0
2010-07-03,0
2010-08-03,0
2010-09-02,0
2010-10-03,0
2010-11-02,0
2010-12-03,0
2011-01-02,0
2011-02-01,0
2011-03-04,0
2011-04-03,0
2011-05-04,0
2011-06-03,0
2011-07-04,0
2011-08-03,0
2011-09-03,0
2011-10-03,0
2011-11-02,0
2011-12-03,0
2012-01-02,0
2012-02-02,0
2012-03-03,0
2012-04-03,0
2012-05-03,0
2012-06-03,0
2012-07-03,0
2012-08-02,0
2012-09-02,0
2012-10-02,0
2012-11-02,0
2012-12-02,0
2013-01-02,0
2013-02-01,0
2013-03-03,0
2013-04-03,0
2013-05-03,0
2013-06-03,0
2013-07-03,0
2013-08-03,0
2013-09-02,0
2013-10-03,0
2013-11-02,0
2013-12-02,0
2014-01-02,0
2014-02-01,0
2014-03-04,0
2014-04-03,0
2014-05-04,0
2014-06-03,0
2014-07-03,0
2014-08-03,0
2014-09-02,0
2014-10-03,0
2014-11-02,0
2014-12-03,0
2015-01-02,0
2015-02-01,0
2015-03-04,0
2015-04-03,0
2015-05-04,0
2015-06-03,0
2015-07-04,0
2015-08-03,0
2015-09-03,0
2015-10-03,0
2015-11-02,0
2015-12-03,0
2016-01-02,0
